,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,0
7,0.192,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,0.695,215280.0,0.762,21jGcNKet2qwijlDFuPiPb,0.00244,0.0,0.0863,-3.497,1.0,0.0395,120.042,4.0,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,audio_features,spotify:track:21jGcNKet2qwijlDFuPiPb,0.553,
8,0.456,https://api.spotify.com/v1/audio-analysis/0t3ZvGKlmYmVsDzBJAXK8C,0.548,174853.0,0.653,0t3ZvGKlmYmVsDzBJAXK8C,0.0,5.0,0.103,-3.875,1.0,0.081,150.068,4.0,https://api.spotify.com/v1/tracks/0t3ZvGKlmYmVsDzBJAXK8C,audio_features,spotify:track:0t3ZvGKlmYmVsDzBJAXK8C,0.163,
9,0.0533,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,0.878,157067.0,0.619,2YpeDb67231RjR0MgVLzsG,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,4.0,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,0.639,
10,0.0912,https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns,0.798,219947.0,0.675,3HVWdVOQ0ZA45FuZGSfvns,0.0,6.0,0.0894,-5.041,1.0,0.0442,101.956,4.0,https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns,audio_features,spotify:track:3HVWdVOQ0ZA45FuZGSfvns,0.842,
11,0.051,https://api.spotify.com/v1/audio-analysis/6TqXcAFInzjp0bODyvrWEq,0.901,197573.0,0.4,6TqXcAFInzjp0bODyvrWEq,0.0,0.0,0.0599,-8.575,1.0,0.126,135.984,4.0,https://api.spotify.com/v1/tracks/6TqXcAFInzjp0bODyvrWEq,audio_features,spotify:track:6TqXcAFInzjp0bODyvrWEq,0.346,
12,0.556,https://api.spotify.com/v1/audio-analysis/3KkXRkHbMCARz0aVfEt68P,0.76,158040.0,0.479,3KkXRkHbMCARz0aVfEt68P,0.0,2.0,0.0703,-5.574,1.0,0.0466,89.911,4.0,https://api.spotify.com/v1/tracks/3KkXRkHbMCARz0aVfEt68P,audio_features,spotify:track:3KkXRkHbMCARz0aVfEt68P,0.913,
13,0.0427,https://api.spotify.com/v1/audio-analysis/4y3OI86AEP6PQoDE6olYhO,0.842,181040.0,0.734,4y3OI86AEP6PQoDE6olYhO,0.0,1.0,0.106,-5.065,0.0,0.0588,137.958,4.0,https://api.spotify.com/v1/tracks/4y3OI86AEP6PQoDE6olYhO,audio_features,spotify:track:4y3OI86AEP6PQoDE6olYhO,0.952,
14,0.124,https://api.spotify.com/v1/audio-analysis/4evmHXcjt3bTUHD1cvny97,0.64,197867.0,0.648,4evmHXcjt3bTUHD1cvny97,0.0,5.0,0.0802,-8.113,0.0,0.187,92.977,4.0,https://api.spotify.com/v1/tracks/4evmHXcjt3bTUHD1cvny97,audio_features,spotify:track:4evmHXcjt3bTUHD1cvny97,0.548,
15,0.101,https://api.spotify.com/v1/audio-analysis/5ry2OE6R2zPQFDO85XkgRb,0.831,205427.0,0.502,5ry2OE6R2zPQFDO85XkgRb,0.0,10.0,0.122,-4.045,0.0,0.046,100.541,4.0,https://api.spotify.com/v1/tracks/5ry2OE6R2zPQFDO85XkgRb,audio_features,spotify:track:5ry2OE6R2zPQFDO85XkgRb,0.101,
16,0.0342,https://api.spotify.com/v1/audio-analysis/77KMttn3Lic7ZQKDlPqp8v,0.862,172800.0,0.685,77KMttn3Lic7ZQKDlPqp8v,0.0,0.0,0.204,-7.699,0.0,0.242,100.024,4.0,https://api.spotify.com/v1/tracks/77KMttn3Lic7ZQKDlPqp8v,audio_features,spotify:track:77KMttn3Lic7ZQKDlPqp8v,0.672,
17,0.0608,https://api.spotify.com/v1/audio-analysis/2gwkD6igEhQbDQegRCcdoB,0.876,163320.0,0.662,2gwkD6igEhQbDQegRCcdoB,0.0,2.0,0.127,-6.482,0.0,0.426,75.445,4.0,https://api.spotify.com/v1/tracks/2gwkD6igEhQbDQegRCcdoB,audio_features,spotify:track:2gwkD6igEhQbDQegRCcdoB,0.844,
18,0.119,https://api.spotify.com/v1/audio-analysis/0Ryd8975WihbObpp5cPW1t,0.4,186107.0,0.795,0Ryd8975WihbObpp5cPW1t,0.0,10.0,0.159,-3.731,0.0,0.461,190.097,4.0,https://api.spotify.com/v1/tracks/0Ryd8975WihbObpp5cPW1t,audio_features,spotify:track:0Ryd8975WihbObpp5cPW1t,0.702,
19,0.00485,https://api.spotify.com/v1/audio-analysis/5N1o6d8zGcSZSeMFkOUQOk,0.872,199427.0,0.814,5N1o6d8zGcSZSeMFkOUQOk,1.96e-06,0.0,0.214,-4.568,1.0,0.155,98.985,4.0,https://api.spotify.com/v1/tracks/5N1o6d8zGcSZSeMFkOUQOk,audio_features,spotify:track:5N1o6d8zGcSZSeMFkOUQOk,0.57,
20,0.0957,https://api.spotify.com/v1/audio-analysis/2nKYHpmwjLaEOXS3o7QMiz,0.97,142417.0,0.463,2nKYHpmwjLaEOXS3o7QMiz,0.0,10.0,0.151,-7.259,1.0,0.366,108.003,4.0,https://api.spotify.com/v1/tracks/2nKYHpmwjLaEOXS3o7QMiz,audio_features,spotify:track:2nKYHpmwjLaEOXS3o7QMiz,0.46,
21,0.837,https://api.spotify.com/v1/audio-analysis/2b8fOow8UzyDFAE27YhOZM,0.764,189486.0,0.32,2b8fOow8UzyDFAE27YhOZM,0.0,11.0,0.0822,-7.209,1.0,0.0546,91.019,4.0,https://api.spotify.com/v1/tracks/2b8fOow8UzyDFAE27YhOZM,audio_features,spotify:track:2b8fOow8UzyDFAE27YhOZM,0.575,
22,0.00929,https://api.spotify.com/v1/audio-analysis/6RRNNciQGZEXnqk8SQ9yv5,0.771,171360.0,0.671,6RRNNciQGZEXnqk8SQ9yv5,0.0,2.0,0.0637,-5.617,1.0,0.0553,85.026,4.0,https://api.spotify.com/v1/tracks/6RRNNciQGZEXnqk8SQ9yv5,audio_features,spotify:track:6RRNNciQGZEXnqk8SQ9yv5,0.714,
23,0.000677,https://api.spotify.com/v1/audio-analysis/5KBARWIxeMGkvUax9VtVC9,0.899,126446.0,0.811,5KBARWIxeMGkvUax9VtVC9,0.0,2.0,0.0672,-6.294,1.0,0.258,105.038,4.0,https://api.spotify.com/v1/tracks/5KBARWIxeMGkvUax9VtVC9,audio_features,spotify:track:5KBARWIxeMGkvUax9VtVC9,0.587,
24,0.0906,https://api.spotify.com/v1/audio-analysis/7CZyCXKG6d5ALeq41sLzbw,0.499,229573.0,0.8,7CZyCXKG6d5ALeq41sLzbw,0.0,1.0,0.147,-2.665,0.0,0.0502,139.919,4.0,https://api.spotify.com/v1/tracks/7CZyCXKG6d5ALeq41sLzbw,audio_features,spotify:track:7CZyCXKG6d5ALeq41sLzbw,0.272,
25,0.153,https://api.spotify.com/v1/audio-analysis/6b2RcmUt1g9N9mQ3CbjX2Y,0.477,202205.0,0.682,6b2RcmUt1g9N9mQ3CbjX2Y,0.0,1.0,0.0763,-4.931,0.0,0.0925,110.567,5.0,https://api.spotify.com/v1/tracks/6b2RcmUt1g9N9mQ3CbjX2Y,audio_features,spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,0.345,
26,0.45,https://api.spotify.com/v1/audio-analysis/6Qs4SXO9dwPj5GKvVOv8Ki,0.741,171030.0,0.52,6Qs4SXO9dwPj5GKvVOv8Ki,1.97e-06,8.0,0.222,-7.513,1.0,0.0656,102.998,4.0,https://api.spotify.com/v1/tracks/6Qs4SXO9dwPj5GKvVOv8Ki,audio_features,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,0.347,
27,0.108,https://api.spotify.com/v1/audio-analysis/0DiDStADDVh3SvAsoJAFMk,0.795,183000.0,0.496,0DiDStADDVh3SvAsoJAFMk,0.0,0.0,0.0645,-5.883,1.0,0.0722,94.01,4.0,https://api.spotify.com/v1/tracks/0DiDStADDVh3SvAsoJAFMk,audio_features,spotify:track:0DiDStADDVh3SvAsoJAFMk,0.874,
28,0.134,https://api.spotify.com/v1/audio-analysis/5z51HY4ei5QhTjcvwq5Msw,0.597,214035.0,0.733,5z51HY4ei5QhTjcvwq5Msw,0.0,1.0,0.159,-6.017,1.0,0.41,171.016,4.0,https://api.spotify.com/v1/tracks/5z51HY4ei5QhTjcvwq5Msw,audio_features,spotify:track:5z51HY4ei5QhTjcvwq5Msw,0.639,
29,0.0669,https://api.spotify.com/v1/audio-analysis/2KKijf6Ett4kmVNJze2roh,0.847,200594.0,0.678,2KKijf6Ett4kmVNJze2roh,0.0,9.0,0.274,-8.635,1.0,0.109,97.984,4.0,https://api.spotify.com/v1/tracks/2KKijf6Ett4kmVNJze2roh,audio_features,spotify:track:2KKijf6Ett4kmVNJze2roh,0.811,
30,0.524,https://api.spotify.com/v1/audio-analysis/6LsAAHotRLMOHfCsSfYCsz,0.692,190800.0,0.809,6LsAAHotRLMOHfCsSfYCsz,0.0,2.0,0.147,-4.198,1.0,0.0602,123.911,4.0,https://api.spotify.com/v1/tracks/6LsAAHotRLMOHfCsSfYCsz,audio_features,spotify:track:6LsAAHotRLMOHfCsSfYCsz,0.864,
31,0.56,https://api.spotify.com/v1/audio-analysis/1iQDltZqI7BXnHrFy4Qo1k,0.619,184280.0,0.459,1iQDltZqI7BXnHrFy4Qo1k,0.0,7.0,0.137,-5.782,0.0,0.0334,126.803,4.0,https://api.spotify.com/v1/tracks/1iQDltZqI7BXnHrFy4Qo1k,audio_features,spotify:track:1iQDltZqI7BXnHrFy4Qo1k,0.498,
32,0.136,https://api.spotify.com/v1/audio-analysis/7xQAfvXzm3AkraOtGPWIZg,0.829,149547.0,0.539,7xQAfvXzm3AkraOtGPWIZg,1.78e-06,11.0,0.103,-7.359,0.0,0.208,99.96,4.0,https://api.spotify.com/v1/tracks/7xQAfvXzm3AkraOtGPWIZg,audio_features,spotify:track:7xQAfvXzm3AkraOtGPWIZg,0.388,
33,0.297,https://api.spotify.com/v1/audio-analysis/5p7ujcrUXASCNwRaWNHR1C,0.752,201661.0,0.488,5p7ujcrUXASCNwRaWNHR1C,9.11e-06,6.0,0.0936,-7.05,1.0,0.0705,136.041,4.0,https://api.spotify.com/v1/tracks/5p7ujcrUXASCNwRaWNHR1C,audio_features,spotify:track:5p7ujcrUXASCNwRaWNHR1C,0.533,
34,0.128,https://api.spotify.com/v1/audio-analysis/7aiClxsDWFRQ0Kzk5KI5ku,0.778,185093.0,0.559,7aiClxsDWFRQ0Kzk5KI5ku,0.0,6.0,0.399,-7.109,0.0,0.0776,129.989,1.0,https://api.spotify.com/v1/tracks/7aiClxsDWFRQ0Kzk5KI5ku,audio_features,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,0.678,
35,0.0588,https://api.spotify.com/v1/audio-analysis/0Xek5rqai2jcOWCYWJfVCF,0.542,196760.0,0.674,0Xek5rqai2jcOWCYWJfVCF,0.0,6.0,0.0955,-4.169,1.0,0.21,76.388,4.0,https://api.spotify.com/v1/tracks/0Xek5rqai2jcOWCYWJfVCF,audio_features,spotify:track:0Xek5rqai2jcOWCYWJfVCF,0.667,
36,0.0849,https://api.spotify.com/v1/audio-analysis/4sWuPniHClkInYAnzXAYUF,0.787,148759.0,0.713,4sWuPniHClkInYAnzXAYUF,0.0,7.0,0.717,-5.252,1.0,0.401,175.041,4.0,https://api.spotify.com/v1/tracks/4sWuPniHClkInYAnzXAYUF,audio_features,spotify:track:4sWuPniHClkInYAnzXAYUF,0.762,
37,0.0389,https://api.spotify.com/v1/audio-analysis/4sjiIpEv617LDXaidKioOI,0.931,176640.0,0.502,4sjiIpEv617LDXaidKioOI,0.0,0.0,0.0912,-9.311,0.0,0.353,94.999,4.0,https://api.spotify.com/v1/tracks/4sjiIpEv617LDXaidKioOI,audio_features,spotify:track:4sjiIpEv617LDXaidKioOI,0.712,
38,0.602,https://api.spotify.com/v1/audio-analysis/3yOs8FffuG6hPbzQG9lIqV,0.593,207933.0,0.81,3yOs8FffuG6hPbzQG9lIqV,0.0,1.0,0.119,-5.733,1.0,0.0625,144.011,4.0,https://api.spotify.com/v1/tracks/3yOs8FffuG6hPbzQG9lIqV,audio_features,spotify:track:3yOs8FffuG6hPbzQG9lIqV,0.712,
39,0.0247,https://api.spotify.com/v1/audio-analysis/7DcvwMAiqKJQD1rrdfxSDx,0.796,200107.0,0.586,7DcvwMAiqKJQD1rrdfxSDx,0.0,4.0,0.132,-6.946,0.0,0.147,97.981,4.0,https://api.spotify.com/v1/tracks/7DcvwMAiqKJQD1rrdfxSDx,audio_features,spotify:track:7DcvwMAiqKJQD1rrdfxSDx,0.179,
40,0.0218,https://api.spotify.com/v1/audio-analysis/2rMAtCaTj16NptyVfEIeAC,0.921,192540.0,0.635,2rMAtCaTj16NptyVfEIeAC,0.0,1.0,0.0946,-4.904,1.0,0.416,130.028,4.0,https://api.spotify.com/v1/tracks/2rMAtCaTj16NptyVfEIeAC,audio_features,spotify:track:2rMAtCaTj16NptyVfEIeAC,0.549,
41,0.15,https://api.spotify.com/v1/audio-analysis/6uFn47ACjqYkc0jADwEdj1,0.772,166560.0,0.639,6uFn47ACjqYkc0jADwEdj1,0.0,1.0,0.0698,-7.119,1.0,0.467,168.112,4.0,https://api.spotify.com/v1/tracks/6uFn47ACjqYkc0jADwEdj1,audio_features,spotify:track:6uFn47ACjqYkc0jADwEdj1,0.261,
