,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
69,0.58,0.867,11,-4.031,0,0.165,0.0152,0.182,0.14,0.482,79.975,audio_features,4mx0eNjjZUyOzfY3I4P9HD,spotify:track:4mx0eNjjZUyOzfY3I4P9HD,https://api.spotify.com/v1/tracks/4mx0eNjjZUyOzfY3I4P9HD,https://api.spotify.com/v1/audio-analysis/4mx0eNjjZUyOzfY3I4P9HD,128109,4
70,0.602,0.944,10,-4.238,1,0.0427,0.0308,0.00256,0.436,0.797,106.958,audio_features,5jjoS9t9LgIsSGbVrtoKR7,spotify:track:5jjoS9t9LgIsSGbVrtoKR7,https://api.spotify.com/v1/tracks/5jjoS9t9LgIsSGbVrtoKR7,https://api.spotify.com/v1/audio-analysis/5jjoS9t9LgIsSGbVrtoKR7,239813,4
71,0.538,0.52,9,-7.46,1,0.0299,0.00425,0.0,0.367,0.678,106.031,audio_features,7hm4HTk9encxT0LYC0J6oI,spotify:track:7hm4HTk9encxT0LYC0J6oI,https://api.spotify.com/v1/tracks/7hm4HTk9encxT0LYC0J6oI,https://api.spotify.com/v1/audio-analysis/7hm4HTk9encxT0LYC0J6oI,183440,4
72,0.62,0.789,8,-4.265,1,0.0469,0.215,0.0,0.1,0.444,107.359,audio_features,6qU37BgVfPhpb2rhYzZWrF,spotify:track:6qU37BgVfPhpb2rhYzZWrF,https://api.spotify.com/v1/tracks/6qU37BgVfPhpb2rhYzZWrF,https://api.spotify.com/v1/audio-analysis/6qU37BgVfPhpb2rhYzZWrF,250413,4
73,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,1yvMUkIOTeUNtNWlWRgANS,spotify:track:1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/tracks/1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/audio-analysis/1yvMUkIOTeUNtNWlWRgANS,217747,4
74,0.638,0.539,10,-5.853,1,0.0504,0.22,0.0,0.241,0.247,83.381,audio_features,2NSWi83peog6gHerzlMCqU,spotify:track:2NSWi83peog6gHerzlMCqU,https://api.spotify.com/v1/tracks/2NSWi83peog6gHerzlMCqU,https://api.spotify.com/v1/audio-analysis/2NSWi83peog6gHerzlMCqU,143713,4
75,0.669,0.937,6,-4.325,1,0.0397,0.302,0.783,0.118,0.344,110.006,audio_features,7HU0fgCVI8ZcdCum2bZThz,spotify:track:7HU0fgCVI8ZcdCum2bZThz,https://api.spotify.com/v1/tracks/7HU0fgCVI8ZcdCum2bZThz,https://api.spotify.com/v1/audio-analysis/7HU0fgCVI8ZcdCum2bZThz,194284,4
76,0.431,0.359,0,-10.943,1,0.0282,0.697,0.000148,0.109,0.284,107.723,audio_features,6i81qFkru6Kj1IEsB7KNp2,spotify:track:6i81qFkru6Kj1IEsB7KNp2,https://api.spotify.com/v1/tracks/6i81qFkru6Kj1IEsB7KNp2,https://api.spotify.com/v1/audio-analysis/6i81qFkru6Kj1IEsB7KNp2,215853,4
77,0.536,0.677,4,-5.384,0,0.364,0.00365,2.67e-05,0.685,0.475,106.99,audio_features,1GPG59ArrhLpnR8AqxMz2X,spotify:track:1GPG59ArrhLpnR8AqxMz2X,https://api.spotify.com/v1/tracks/1GPG59ArrhLpnR8AqxMz2X,https://api.spotify.com/v1/audio-analysis/1GPG59ArrhLpnR8AqxMz2X,208387,4
78,0.442,0.83,9,-4.02,1,0.146,0.128,0.0,0.129,0.578,89.338,audio_features,6OEolOOk9Gh9bqkdpfIOl0,spotify:track:6OEolOOk9Gh9bqkdpfIOl0,https://api.spotify.com/v1/tracks/6OEolOOk9Gh9bqkdpfIOl0,https://api.spotify.com/v1/audio-analysis/6OEolOOk9Gh9bqkdpfIOl0,215747,4
79,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,audio_features,37L6Z58IzBvFz3LGblLD5Q,spotify:track:37L6Z58IzBvFz3LGblLD5Q,https://api.spotify.com/v1/tracks/37L6Z58IzBvFz3LGblLD5Q,https://api.spotify.com/v1/audio-analysis/37L6Z58IzBvFz3LGblLD5Q,173325,4
80,0.639,0.678,7,-5.02,1,0.0278,0.44,1.45e-06,0.221,0.531,106.966,audio_features,28Sc21lrWcZD9Ov4rRkPJq,spotify:track:28Sc21lrWcZD9Ov4rRkPJq,https://api.spotify.com/v1/tracks/28Sc21lrWcZD9Ov4rRkPJq,https://api.spotify.com/v1/audio-analysis/28Sc21lrWcZD9Ov4rRkPJq,212133,4
81,0.647,0.767,6,-6.497,1,0.203,0.00417,0.0,0.103,0.537,157.925,audio_features,6jDMlQsmDnKtusidx4P4p8,spotify:track:6jDMlQsmDnKtusidx4P4p8,https://api.spotify.com/v1/tracks/6jDMlQsmDnKtusidx4P4p8,https://api.spotify.com/v1/audio-analysis/6jDMlQsmDnKtusidx4P4p8,216773,4
82,0.379,0.286,9,-13.208,0,0.0777,0.821,0.0,0.314,0.324,84.323,audio_features,4Qzy8GTAFii7FuK39Wzawp,spotify:track:4Qzy8GTAFii7FuK39Wzawp,https://api.spotify.com/v1/tracks/4Qzy8GTAFii7FuK39Wzawp,https://api.spotify.com/v1/audio-analysis/4Qzy8GTAFii7FuK39Wzawp,221613,3
83,0.637,0.89,0,-3.877,1,0.0312,0.0832,1.9e-06,0.0892,0.928,123.002,audio_features,5XcMzuskwO305UC7RBm9Zu,spotify:track:5XcMzuskwO305UC7RBm9Zu,https://api.spotify.com/v1/tracks/5XcMzuskwO305UC7RBm9Zu,https://api.spotify.com/v1/audio-analysis/5XcMzuskwO305UC7RBm9Zu,164733,4
84,0.63,0.722,2,-6.694,1,0.0853,0.0121,0.00502,0.0781,0.93,95.997,audio_features,5otxox0417Duw74KwxmyvK,spotify:track:5otxox0417Duw74KwxmyvK,https://api.spotify.com/v1/tracks/5otxox0417Duw74KwxmyvK,https://api.spotify.com/v1/audio-analysis/5otxox0417Duw74KwxmyvK,253000,4
85,0.69,0.614,7,-8.111,1,0.0299,0.00697,0.65,0.127,0.735,129.988,audio_features,5GiCmMmBYxmSMIsxhiomA3,spotify:track:5GiCmMmBYxmSMIsxhiomA3,https://api.spotify.com/v1/tracks/5GiCmMmBYxmSMIsxhiomA3,https://api.spotify.com/v1/audio-analysis/5GiCmMmBYxmSMIsxhiomA3,372107,4
86,0.55,0.777,4,-7.299,1,0.0382,0.143,7.46e-06,0.981,0.751,116.14,audio_features,0ll4shInilQVdYVrVVHpjB,spotify:track:0ll4shInilQVdYVrVVHpjB,https://api.spotify.com/v1/tracks/0ll4shInilQVdYVrVVHpjB,https://api.spotify.com/v1/audio-analysis/0ll4shInilQVdYVrVVHpjB,174173,4
87,0.549,0.791,10,-3.535,1,0.133,0.0104,0.0,0.444,0.293,150.094,audio_features,6u5M4jPpYkoRV4vVHDQvkd,spotify:track:6u5M4jPpYkoRV4vVHDQvkd,https://api.spotify.com/v1/tracks/6u5M4jPpYkoRV4vVHDQvkd,https://api.spotify.com/v1/audio-analysis/6u5M4jPpYkoRV4vVHDQvkd,227293,4
